Uni	Char	STB	Attest	GB	Big5	Uni	Z
\u4144	䅄	U	0	no	no	yes	no
\u414E	䅎	U	0	no	no	yes	no
\u4155	䅕	U	0	no	no	yes	no
\u4156	䅖	U	0	no	no	yes	no
\u4157	䅗	U	0	no	no	yes	no
\u415C	䅜	U	0	no	no	yes	no
\u415F	䅟	U	0	no	no	yes	no
\u4167	䅧	U	0	no	no	yes	no
\u416C	䅬	U	0	no	no	yes	no
\u416E	䅮	U	0	no	no	yes	no
\u4175	䅵	B	1	no	no	no	no
\u4177	䅷	U	0	no	no	yes	no
\u417A	䅺	U	0	no	no	yes	no
\u417C	䅼	U	0	no	no	yes	no
\u417F	䅿	U	0	no	no	yes	no
\u4180	䆀	U	0	no	no	yes	no
\u4190	䆐	U	0	no	no	yes	no
\u41A3	䆣	U	0	no	no	yes	no
\u41A4	䆤	U	0	no	no	yes	no
\u41A5	䆥	U	0	no	no	yes	no
\u41AC	䆬	U	0	no	no	yes	no
\u41B2	䆲	U	0	no	no	yes	no
\u41B5	䆵	U	0	no	no	yes	no
\u41C4	䇄	U	0	no	no	yes	no
\u41CA	䇊	U	0	no	no	yes	no
\u41CC	䇌	U	0	no	no	yes	no
\u41CD	䇍	U	0	no	no	yes	no
\u41CF	䇏	U	0	no	no	yes	no
\u41DB	䇛	U	0	no	no	yes	no
\u41E2	䇢	U	0	no	no	yes	no
\u41ED	䇭	U	0	no	no	yes	no
\u41EF	䇯	U	0	no	no	yes	no
\u41F2	䇲	B	1	no	no	no	no
\u41F9	䇹	U	0	no	no	yes	no
\u41FC	䇼	U	0	no	no	yes	no
\u41FE	䇾	U	0	no	no	yes	no
\u4211	䈑	U	0	no	no	yes	no
\u421B	䈛	U	0	no	no	yes	no
\u4223	䈣	U	0	no	no	yes	no
\u4230	䈰	T	1	no	no	no	no
\u4240	䉀	U	0	no	no	yes	no
\u424B	䉋	U	0	no	no	yes	no
\u4256	䉖	U	0	no	no	yes	no
\u4259	䉙	U	0	no	no	yes	no
\u4260	䉠	U	0	no	no	yes	no
\u4264	䉤	S	1	no	no	no	no
\u426A	䉪	U	0	no	no	yes	no
\u4276	䉶	U	0	no	no	yes	no
\u4277	䉷	U	0	no	no	yes	no
\u4278	䉸	U	0	no	no	yes	no
\u427A	䉺	U	0	no	no	yes	no
\u4280	䊀	T	1	no	no	no	no
\u4284	䊄	U	0	no	no	yes	no
\u4286	䊆	U	0	no	no	yes	no
\u428C	䊌	U	0	no	no	yes	no
\u4293	䊓	U	0	no	no	yes	no
\u4294	䊔	U	0	no	no	yes	no
\u4295	䊕	U	0	no	no	yes	no
\u42A2	䊢	U	0	no	no	yes	no
\u42A5	䊥	U	0	no	no	yes	no
\u42B5	䊵	U	0	no	no	yes	no
\u42B9	䊹	U	0	no	no	yes	no
\u42BC	䊼	U	0	no	no	yes	no
\u42BF	䊿	U	0	no	no	yes	no
\u42C1	䋁	U	0	no	no	yes	no
\u42C9	䋉	U	0	no	no	yes	no
\u42CA	䋊	U	0	no	no	yes	no
\u42CE	䋎	U	0	no	no	yes	no
\u42ED	䋭	U	0	no	no	yes	no
\u42EE	䋮	U	0	no	no	yes	no
\u42F4	䋴	U	0	no	no	yes	no
\u42FA	䋺	U	0	no	no	yes	no
\u42FB	䋻	U	0	no	no	yes	no
\u42FC	䋼	U	0	no	no	yes	no
\u430D	䌍	U	0	no	no	yes	no
\u431A	䌚	U	0	no	no	yes	no
\u432B	䌫	U	0	no	no	yes	no
\u4334	䌴	U	0	no	no	yes	no
\u4337	䌷	S	1	no	no	yes	no
\u4338	䌸	S	1	no	no	no	no
\u4339	䌹	S	1	no	no	no	no
\u433D	䌽	S	2	no	no	no	no
\u4341	䍁	S	1	no	no	no	no
\u4343	䍃	B	1	no	no	no	no
\u4348	䍈	U	0	no	no	yes	no
\u4349	䍉	U	0	no	no	yes	no
\u4362	䍢	U	0	no	no	yes	no
\u4363	䍣	U	0	no	no	yes	no
\u4364	䍤	U	0	no	no	yes	no
\u4365	䍥	U	0	no	no	yes	no
\u436E	䍮	U	0	no	no	yes	no
\u4379	䍹	B	1	no	no	no	no
\u438C	䎌	U	0	no	no	yes	no
\u4396	䎖	U	0	no	no	yes	no
\u4397	䎗	U	0	no	no	yes	no
\u439A	䎚	U	0	no	no	yes	no
\u439C	䎜	U	0	no	no	yes	no
\u43AC	䎬	U	0	no	no	yes	no
\u43B1	䎱	U	0	no	no	yes	no
\u43BA	䎺	U	0	no	no	yes	no
\u43BD	䎽	U	0	no	no	yes	no
\u43C1	䏁	U	0	no	no	yes	no
\u43D9	䏙	U	0	no	no	yes	no
\u43DD	䏝	U	0	no	no	yes	no
\u43DF	䏟	U	0	no	no	yes	no
\u43E9	䏩	U	0	no	no	yes	no
\u43EA	䏪	U	0	no	no	yes	no
\u43ED	䏭	U	0	no	no	yes	no
\u43F0	䏰	U	0	no	no	yes	no
\u43F2	䏲	U	0	no	no	yes	no
\u43F8	䏸	U	0	no	no	yes	no
\u4401	䐁	U	0	no	no	yes	no
\u4402	䐂	U	0	no	no	yes	no
\u4404	䐄	U	0	no	no	yes	no
\u4413	䐓	U	0	no	no	yes	no
\u4425	䐥	U	0	no	no	yes	no
\u442D	䐭	U	0	no	no	yes	no
\u4435	䐵	U	0	no	no	yes	no
\u4436	䐶	U	0	no	no	yes	no
\u4459	䑙	U	0	no	no	yes	no
\u445A	䑚	U	0	no	no	yes	no
\u445B	䑛	U	0	no	no	yes	no
\u4469	䑩	U	0	no	no	yes	no
\u4472	䑲	U	0	no	no	yes	no
\u4473	䑳	U	0	no	no	yes	no
\u447A	䑺	U	0	no	no	yes	no
\u4487	䒇	U	0	no	no	yes	no
\u4488	䒈	U	0	no	no	yes	no
\u448F	䒏	U	0	no	no	yes	no
\u4491	䒑	U	0	no	no	yes	no
\u4497	䒗	B	1	no	no	no	no
\u449F	䒟	U	0	no	no	yes	no
\u44A0	䒠	U	0	no	no	yes	no
\u44A2	䒢	U	0	no	no	yes	no
\u44B0	䒰	U	0	no	no	yes	no
\u44B7	䒷	U	0	no	no	yes	no
\u44B9	䒹	U	0	no	no	yes	no
\u44BC	䒼	U	0	no	no	yes	no
\u44BD	䒽	U	0	no	no	yes	no
\u44C0	䓀	U	0	no	no	yes	no
\u44C3	䓃	U	0	no	no	yes	no
\u44C5	䓅	U	0	no	no	yes	no
\u44CE	䓎	U	0	no	no	yes	no
\u44D3	䓓	U	0	no	no	yes	no
\u44D5	䓕	S	1	no	no	no	no
\u44D6	䓖	U	0	no	no	yes	no
\u44DD	䓝	U	0	no	no	yes	no
\u44DE	䓞	U	0	no	no	yes	no
\u44DF	䓟	U	0	no	no	yes	no
\u44E4	䓤	U	0	no	no	yes	no
\u44E9	䓩	U	0	no	no	yes	no
\u44EA	䓪	U	0	no	no	yes	no
\u44EB	䓫	U	0	no	no	yes	no
\u44EC	䓬	U	0	no	no	yes	no
\u44F4	䓴	U	0	no	no	yes	no
\u4503	䔃	U	0	no	no	yes	no
\u4504	䔄	U	0	no	no	yes	no
\u4505	䔅	U	0	no	no	yes	no
\u4509	䔉	U	0	no	no	yes	no
\u450B	䔋	U	0	no	no	yes	no
\u4516	䔖	U	0	no	no	yes	no
\u451B	䔛	U	0	no	no	yes	no
\u451D	䔝	U	0	no	no	yes	no
\u4521	䔡	U	0	no	no	yes	no
\u4522	䔢	B	1	no	no	no	no
\u4527	䔧	U	0	no	no	yes	no
\u452E	䔮	U	0	no	no	yes	no
\u4533	䔳	U	0	no	no	yes	no
\u4536	䔶	U	0	no	no	yes	no
\u453B	䔻	U	0	no	no	yes	no
\u453D	䔽	U	0	no	no	yes	no
\u453F	䔿	U	0	no	no	yes	no
\u4543	䕃	U	0	no	no	yes	no
\u4551	䕑	U	0	no	no	yes	no
\u4552	䕒	U	0	no	no	yes	no
\u4555	䕕	U	0	no	no	yes	no
\u4558	䕘	U	0	no	no	yes	no
\u455C	䕜	U	0	no	no	yes	no
\u4561	䕡	U	0	no	no	yes	no
\u4562	䕢	U	0	no	no	yes	no
\u456A	䕪	U	0	no	no	yes	no
\u456D	䕭	B	2	no	no	yes	no
\u4577	䕷	U	0	no	no	yes	no
\u4578	䕸	U	0	no	no	yes	no
\u4585	䖅	U	0	no	no	yes	no
\u459F	䖟	B	1	no	no	no	no
\u45A6	䖦	U	0	no	no	yes	no
\u45AF	䖯	U	0	no	no	yes	no
\u45B3	䖳	U	0	no	no	yes	no
\u45B8	䖸	B	1	no	no	no	no
\u45C8	䗈	B	1	no	no	yes	no
\u45CA	䗊	U	0	no	no	yes	no
\u45D6	䗖	S	2	no	no	no	no
\u45DA	䗚	U	0	no	no	yes	no
\u45E5	䗥	B	2	no	no	no	no
\u45E9	䗩	U	0	no	no	yes	no
\u45EA	䗪	B	1	no	no	yes	no
\u45EC	䗬	T	1	no	no	no	no
\u45F6	䗶	B	1	no	no	no	no
\u45FF	䗿	U	0	no	no	yes	no
\u4603	䘃	U	0	no	no	yes	no
\u4606	䘆	U	0	no	no	yes	no
\u460F	䘏	T	1	no	no	yes	no
\u4611	䘑	T	1	no	no	no	no
\u4615	䘕	U	0	no	no	yes	no
\u4617	䘗	U	0	no	no	yes	no
\u4618	䘘	U	0	no	no	yes	no
\u461A	䘚	T	1	no	no	no	no
\u4625	䘥	U	0	no	no	yes	no
\u462A	䘪	U	0	no	no	yes	no
\u463C	䘼	U	0	no	no	yes	no
\u464C	䙌	U	0	no	no	yes	no
\u4653	䙓	S	1	no	no	no	no
\u465B	䙛	U	0	no	no	yes	no
\u4661	䙡	U	0	no	no	yes	no
\u4665	䙥	U	0	no	no	yes	no
\u4674	䙴	U	0	no	no	yes	no
\u467A	䙺	U	0	no	no	yes	no
\u4680	䚀	U	0	no	no	yes	no
\u4697	䚗	U	0	no	no	yes	no
\u46A1	䚡	U	0	no	no	yes	no
\u46BB	䚻	U	0	no	no	yes	no
\u46CF	䛏	U	0	no	no	yes	no
\u46D0	䛐	T	1	no	no	yes	no
\u46D4	䛔	U	0	no	no	yes	no
\u46D8	䛘	U	0	no	no	yes	no
\u46DF	䛟	B	1	no	no	yes	no
\u46F5	䛵	U	0	no	no	yes	no
\u46F7	䛷	U	0	no	no	yes	no
\u4706	䜆	U	0	no	no	yes	no
\u4711	䜑	U	0	no	no	yes	no
\u4713	䜓	U	0	no	no	yes	no
\u4718	䜘	U	0	no	no	yes	no
\u4723	䜣	S	3	no	no	yes	no
\u4725	䜥	U	0	no	no	yes	no
\u4729	䜩	S	1	no	no	yes	no
\u472F	䜯	U	0	no	no	yes	no
\u4736	䜶	U	0	no	no	yes	no
\u4744	䝄	U	0	no	no	yes	no
\u474B	䝋	U	0	no	no	yes	no
\u474E	䝎	U	0	no	no	yes	no
\u474F	䝏	U	0	no	no	yes	no
\u4753	䝓	B	1	no	no	no	no
\u4754	䝔	T	1	no	no	no	no
\u4759	䝙	S	1	no	no	no	no
\u477C	䝼	U	0	no	no	yes	no
\u478D	䞍	U	0	no	no	yes	no
\u478F	䞏	U	0	no	no	yes	no
\u4793	䞓	B	1	no	no	no	no
\u4798	䞘	U	0	no	no	yes	no
\u479A	䞚	U	0	no	no	yes	no
\u47A6	䞦	U	0	no	no	yes	no
\u47B6	䞶	U	0	no	no	yes	no
\u47C6	䟆	B	1	no	no	no	no
\u47C9	䟉	U	0	no	no	yes	no
\u47D5	䟕	U	0	no	no	yes	no
\u47D6	䟖	B	1	no	no	no	no
\u47D9	䟙	U	0	no	no	yes	no
\u47DC	䟜	U	0	no	no	yes	no
\u47E0	䟠	U	0	no	no	yes	no
\u47E1	䟡	U	0	no	no	yes	no
\u47ED	䟭	U	0	no	no	yes	no
\u47F4	䟴	U	0	no	no	yes	no
\u47FF	䟿	U	0	no	no	yes	no
\u4800	䠀	B	2	no	no	yes	no
\u4808	䠈	U	0	no	no	yes	no
\u480B	䠋	U	0	no	no	yes	no
\u4812	䠒	U	0	no	no	yes	no
\u481E	䠞	B	1	no	no	no	no
\u4821	䠡	U	0	no	no	yes	no
\u4823	䠣	U	0	no	no	yes	no
\u4836	䠶	T	1	no	no	no	no
\u4837	䠷	U	0	no	no	yes	no
\u485D	䡝	U	0	no	no	yes	no
\u4871	䡱	U	0	no	no	yes	no
\u4882	䢂	U	0	no	no	yes	no
\u489B	䢛	U	0	no	no	yes	no
\u48AD	䢭	U	0	no	no	yes	no
\u48AE	䢮	U	0	no	no	yes	no
\u48D0	䣐	U	0	no	no	yes	no
\u48DD	䣝	U	0	no	no	yes	no
\u48E9	䣩	U	0	no	no	yes	no
\u48ED	䣭	U	0	no	no	yes	no
\u48F0	䣰	U	0	no	no	yes	no
\u48F1	䣱	U	0	no	no	yes	no
\u48F2	䣲	U	0	no	no	yes	no
\u48F3	䣳	U	0	no	no	yes	no
\u48FA	䣺	U	0	no	no	yes	no
\u48FB	䣻	U	0	no	no	yes	no
\u48FF	䣿	U	0	no	no	yes	no
\u4900	䤀	U	0	no	no	yes	no
\u4901	䤁	U	0	no	no	yes	no
\u4906	䤆	U	0	no	no	yes	no
\u4908	䤈	B	1	no	no	no	no
\u490C	䤌	U	0	no	no	yes	no
\u4911	䤑	U	0	no	no	yes	no
\u4916	䤖	U	0	no	no	yes	no
\u4917	䤗	U	0	no	no	yes	no
\u4919	䤙	U	0	no	no	yes	no
\u491D	䤝	U	0	no	no	yes	no
\u491E	䤞	U	0	no	no	yes	no
\u4925	䤥	U	0	no	no	yes	no
\u492A	䤪	U	0	no	no	yes	no
\u492D	䤭	U	0	no	no	yes	no
\u492F	䤯	U	0	no	no	yes	no
\u4933	䤳	U	0	no	no	yes	no
\u4934	䤴	U	0	no	no	yes	no
\u4935	䤵	U	0	no	no	yes	no
\u493C	䤼	U	0	no	no	yes	no
\u493E	䤾	U	0	no	no	yes	no
\u493F	䤿	U	0	no	no	yes	no
\u4940	䥀	U	0	no	no	yes	no
\u4941	䥁	U	0	no	no	yes	no
\u4942	䥂	U	0	no	no	yes	no
\u4943	䥃	U	0	no	no	yes	no
\u4945	䥅	U	0	no	no	yes	no
\u4947	䥇	U	0	no	no	yes	no
\u4951	䥑	B	1	no	no	yes	no
\u4953	䥓	U	0	no	no	yes	no
\u4962	䥢	U	0	no	no	yes	no
\u4963	䥣	U	0	no	no	yes	no
\u4965	䥥	T	1	no	no	yes	no
\u496A	䥪	U	0	no	no	yes	no
\u496F	䥯	B	1	no	no	no	no
\u4972	䥲	U	0	no	no	yes	no
\u4973	䥳	U	0	no	no	yes	no
\u4974	䥴	U	0	no	no	yes	no
\u4975	䥵	U	0	no	no	yes	no
\u4976	䥶	U	0	no	no	yes	no
\u497A	䥺	U	0	no	no	yes	no
\u497B	䥻	U	0	no	no	yes	no
\u497D	䥽	U	0	no	no	yes	no
\u497F	䥿	U	0	no	no	yes	no
\u4982	䦂	U	0	no	no	yes	no
\u4983	䦃	U	0	no	no	yes	no
\u4985	䦅	U	0	no	no	yes	no
\u4986	䦆	U	0	no	no	yes	no
\u4988	䦈	U	0	no	no	yes	no
\u4989	䦉	B	1	no	no	yes	no
\u498A	䦊	U	0	no	no	yes	no
\u498B	䦋	U	0	no	no	yes	no
\u498C	䦌	U	0	no	no	yes	no
\u498D	䦍	U	0	no	no	yes	no
\u498E	䦎	U	0	no	no	yes	no
\u498F	䦏	U	0	no	no	yes	no
\u4994	䦔	U	0	no	no	yes	no
\u4995	䦕	B	1	no	no	no	no
\u499B	䦛	U	0	no	no	yes	no
\u499F	䦟	U	0	no	no	yes	no
\u49A1	䦡	U	0	no	no	yes	no
\u49A4	䦤	U	0	no	no	yes	no
\u49A7	䦧	U	0	no	no	yes	no
\u49A9	䦩	U	0	no	no	yes	no
\u49AB	䦫	U	0	no	no	yes	no
\u49AC	䦬	U	0	no	no	yes	no
\u49AD	䦭	U	0	no	no	yes	no
\u49B6	䦶	U	0	no	no	yes	no
\u49B7	䦷	U	0	no	no	yes	no
\u49B8	䦸	U	0	no	no	yes	no
\u49B9	䦹	U	0	no	no	yes	no
\u49BA	䦺	U	0	no	no	yes	no
\u49BB	䦻	U	0	no	no	yes	no
\u49C5	䧅	U	0	no	no	yes	no
\u49D0	䧐	U	0	no	no	yes	no
\u49DA	䧚	U	0	no	no	yes	no
\u49DE	䧞	U	0	no	no	yes	no
\u49DF	䧟	U	0	no	no	yes	no
\u49E3	䧣	U	0	no	no	yes	no
\u49E5	䧥	U	0	no	no	yes	no
\u49E7	䧧	U	0	no	no	yes	no
\u49EC	䧬	U	0	no	no	yes	no
\u49ED	䧭	U	0	no	no	yes	no
\u49F6	䧶	U	0	no	no	yes	no
\u49F7	䧷	U	0	no	no	yes	no
\u49F8	䧸	U	0	no	no	yes	no
\u49F9	䧹	U	0	no	no	yes	no
\u49FB	䧻	U	0	no	no	yes	no
\u4A0E	䨎	U	0	no	no	yes	no
\u4A0F	䨏	U	0	no	no	yes	no
\u4A12	䨒	U	0	no	no	yes	no
\u4A13	䨓	U	0	no	no	yes	no
\u4A15	䨕	U	0	no	no	yes	no
\u4A1D	䨝	U	0	no	no	yes	no
\u4A21	䨡	U	0	no	no	yes	no
\u4A22	䨢	U	0	no	no	yes	no
\u4A23	䨣	U	0	no	no	yes	no
\u4A24	䨤	U	0	no	no	yes	no
\u4A25	䨥	U	0	no	no	yes	no
\u4A26	䨦	U	0	no	no	yes	no
\u4A27	䨧	U	0	no	no	yes	no
\u4A28	䨨	U	0	no	no	yes	no
\u4A29	䨩	U	0	no	no	yes	no
\u4A2A	䨪	U	0	no	no	yes	no
\u4A35	䨵	U	0	no	no	yes	no
\u4A3E	䨾	U	0	no	no	yes	no
\u4A42	䩂	U	0	no	no	yes	no
\u4A44	䩄	S	1	no	no	no	no
\u4A45	䩅	U	0	no	no	yes	no
\u4A4A	䩊	U	0	no	no	yes	no
\u4A4E	䩎	U	0	no	no	yes	no
\u4A4F	䩏	U	0	no	no	yes	no
\u4A50	䩐	U	0	no	no	yes	no
\u4A51	䩑	U	0	no	no	yes	no
\u4A5D	䩝	U	0	no	no	yes	no
\u4A65	䩥	U	0	no	no	yes	no
\u4A66	䩦	B	1	no	no	yes	no
\u4A67	䩧	U	0	no	no	yes	no
\u4A71	䩱	U	0	no	no	yes	no
\u4A77	䩷	U	0	no	no	yes	no
\u4A78	䩸	U	0	no	no	yes	no
\u4A79	䩹	U	0	no	no	yes	no
\u4A7A	䩺	U	0	no	no	yes	no
\u4A8C	䪌	U	0	no	no	yes	no
\u4A93	䪓	U	0	no	no	yes	no
\u4A94	䪔	U	0	no	no	yes	no
\u4A95	䪕	U	0	no	no	yes	no
\u4A96	䪖	U	0	no	no	yes	no
\u4AA4	䪤	U	0	no	no	yes	no
\u4AA5	䪥	U	0	no	no	yes	no
\u4AA6	䪦	U	0	no	no	yes	no
\u4AA7	䪧	U	0	no	no	yes	no
\u4AB1	䪱	U	0	no	no	yes	no
\u4AB2	䪲	U	0	no	no	yes	no
\u4AB3	䪳	U	0	no	no	yes	no
\u4AB4	䪴	U	0	no	no	yes	no
\u4AB8	䪸	U	0	no	no	yes	no
\u4ABA	䪺	U	0	no	no	yes	no
\u4ABB	䪻	U	0	no	no	yes	no
\u4ABC	䪼	U	0	no	no	yes	no
\u4AC0	䫀	U	0	no	no	yes	no
\u4AC7	䫇	U	0	no	no	yes	no
\u4ACA	䫊	U	0	no	no	yes	no
\u4ACC	䫌	U	0	no	no	yes	no
\u4ACF	䫏	B	1	no	no	no	no
\u4AD1	䫑	U	0	no	no	yes	no
\u4ADF	䫟	U	0	no	no	yes	no
\u4AE2	䫢	U	0	no	no	yes	no
\u4AE4	䫤	U	0	no	no	yes	no
\u4AE9	䫩	U	0	no	no	yes	no
\u4AFF	䫿	U	0	no	no	yes	no
\u4B03	䬃	T	1	no	no	no	no
\u4B0F	䬏	U	0	no	no	yes	no
\u4B10	䬐	U	0	no	no	yes	no
\u4B19	䬙	U	0	no	no	yes	no
\u4B20	䬠	B	1	no	no	yes	no
\u4B2A	䬪	B	1	no	no	no	no
\u4B2B	䬫	U	0	no	no	yes	no
\u4B2C	䬬	U	0	no	no	yes	no
\u4B37	䬷	U	0	no	no	yes	no
\u4B41	䭁	U	0	no	no	yes	no
\u4B54	䭔	U	0	no	no	yes	no
\u4B5E	䭞	U	0	no	no	yes	no
\u4B6E	䭮	U	0	no	no	yes	no
\u4B6F	䭯	U	0	no	no	yes	no
\u4B70	䭰	U	0	no	no	yes	no
\u4B72	䭲	U	0	no	no	yes	no
\u4B7B	䭻	U	0	no	no	yes	no
\u4B7E	䭾	T	1	no	no	yes	no
\u4B8E	䮎	U	0	no	no	yes	no
\u4B90	䮐	U	0	no	no	yes	no
\u4B93	䮓	U	0	no	no	yes	no
\u4B96	䮖	U	0	no	no	yes	no
\u4B97	䮗	U	0	no	no	yes	no
\u4B9D	䮝	U	0	no	no	yes	no
\u4BBD	䮽	U	0	no	no	yes	no
\u4BBE	䮾	U	0	no	no	yes	no
\u4BC0	䯀	U	0	no	no	yes	no
\u4BC4	䯄	S	1	no	no	no	no
\u4BDD	䯝	B	1	no	no	no	no
\u4BF5	䯵	U	0	no	no	yes	no
\u4C04	䰄	U	0	no	no	yes	no
\u4C07	䰇	U	0	no	no	yes	no
\u4C09	䰉	U	0	no	no	yes	no
\u4C0E	䰎	U	0	no	no	yes	no
\u4C1F	䰟	T	1	no	no	no	no
\u4C32	䰲	U	0	no	no	yes	no
\u4C3B	䰻	U	0	no	no	yes	no
\u4C3E	䰾	T	2	no	no	yes	no
\u4C40	䱀	U	0	no	no	yes	no
\u4C47	䱇	U	0	no	no	yes	no
\u4C57	䱗	U	0	no	no	yes	no
\u4C5A	䱚	U	0	no	no	yes	no
\u4C5B	䱛	U	0	no	no	yes	no
\u4C64	䱤	U	0	no	no	yes	no
\u4C6D	䱭	U	0	no	no	yes	no
\u4C75	䱵	U	0	no	no	yes	no
\u4C77	䱷	U	0	no	no	yes	no
\u4C7B	䱻	U	0	no	no	yes	no
\u4C7D	䱽	U	0	no	no	yes	no
\u4C81	䲁	U	0	no	no	yes	no
\u4C82	䲂	U	0	no	no	yes	no
\u4C85	䲅	U	0	no	no	yes	no
\u4C94	䲔	B	1	no	no	no	no
\u4C9E	䲞	U	0	no	no	yes	no
\u4C9F	䲟	U	0	no	no	yes	no
\u4CA0	䲠	S	2	no	no	yes	no
\u4CA1	䲡	U	0	no	no	yes	no
\u4CA2	䲢	U	0	no	no	yes	no
\u4CA3	䲣	U	0	no	no	yes	no
\u4CA4	䲤	U	0	no	no	yes	no
\u4CAE	䲮	U	0	no	no	yes	no
\u4CB0	䲰	U	0	no	no	yes	no
\u4CB7	䲷	U	0	no	no	yes	no
\u4CC9	䳉	U	0	no	no	yes	no
\u4CCD	䳍	U	0	no	no	yes	no
\u4CD7	䳗	B	1	no	no	no	no
\u4CD8	䳘	T	1	no	no	no	no
\u4CD9	䳙	U	0	no	no	yes	no
\u4CE1	䳡	U	0	no	no	yes	no
\u4CE2	䳢	U	0	no	no	yes	no
\u4CED	䳭	U	0	no	no	yes	no
\u4D06	䴆	U	0	no	no	yes	no
\u4D07	䴇	U	0	no	no	yes	no
\u4D09	䴉	T	2	no	no	yes	no
\u4D10	䴐	U	0	no	no	yes	no
\u4D13	䴓	U	0	no	no	yes	no
\u4D14	䴔	S	1	no	no	yes	no
\u4D15	䴕	S	1	no	no	yes	no
\u4D16	䴖	U	0	no	no	yes	no
\u4D17	䴗	U	0	no	no	yes	no
\u4D18	䴘	S	4	no	no	yes	no
\u4D19	䴙	S	4	no	no	yes	no
\u4D34	䴴	U	0	no	no	yes	no
\u4D38	䴸	T	1	no	no	no	no
\u4D5A	䵚	U	0	no	no	yes	no
\u4D76	䵶	U	0	no	no	yes	no
\u4D77	䵷	U	0	no	no	yes	no
\u4D79	䵹	B	1	no	no	no	no
\u4D83	䶃	U	0	no	no	yes	no
\u4D89	䶉	U	0	no	no	yes	no
\u4D8A	䶊	T	1	no	no	yes	no
\u4D91	䶑	B	1	no	no	yes	no
\u4D95	䶕	U	0	no	no	yes	no
\u4D97	䶗	U	0	no	no	yes	no
\u4D9C	䶜	U	0	no	no	yes	no
\u4DA7	䶧	U	0	no	no	yes	no
\u4DAE	䶮	S	1	no	no	yes	no
\u4DB8	䶸	U	0	no	no	yes	no
\u4DC6	䷆	U	0	no	no	yes	no
\u4DEA	䷪	U	0	no	no	yes	no
\u4DEB	䷫	U	0	no	no	yes	no
\u4E00	一	B	1096	yes	yes	yes	yes
\u4E01	丁	B	148	yes	yes	yes	yes
\u4E02	丂	B	1	no	no	yes	no
\u4E03	七	B	108	yes	yes	yes	yes
\u4E04	丄	B	1	no	no	yes	no
\u4E05	丅	B	1	no	no	yes	no
\u4E06	丆	B	1	no	no	yes	no
\u4E07	万	B	239	yes	yes	yes	yes
\u4E08	丈	B	35	yes	yes	yes	yes
\u4E09	三	B	494	yes	yes	yes	yes
\u4E0A	上	B	538	yes	yes	yes	yes
\u4E0B	下	B	487	yes	yes	yes	yes
\u4E0C	丌	B	3	yes	yes	yes	yes
\u4E0D	不	B	2062	yes	yes	yes	yes
\u4E0E	与	S	68	yes	yes	yes	yes
\u4E0F	丏	B	1	no	yes	yes	no
\u4E10	丐	B	5	yes	yes	yes	yes
\u4E11	丑	B	42	yes	yes	yes	yes
\u4E12	丒	B	1	no	no	yes	no
